name,WKT
Starbucks,POINT (-117.39971 34.50686)
Starbucks,POINT (-97.68976 30.52801)
Starbucks,POINT (-121.58927 37.01373)
Starbucks,POINT (-78.44385 38.02898)
Starbucks,POINT (-97.31797 32.57622)
Starbucks,POINT (-87.71012 41.97584)
Starbucks,POINT (-104.98397 39.88078)
Starbucks,POINT (-91.06115 30.38462)
Starbucks,POINT (-80.07084 26.46178)
Starbucks,POINT (-81.39745 28.46506)
Starbucks,POINT (-112.23606 33.50739)
Starbucks,POINT (-118.59743 34.20282)
Starbucks,POINT (-96.81799 32.91521)
Starbucks,POINT (-117.69098 34.09023)
Starbucks,POINT (-122.36186 47.29966)
Starbucks,POINT (-100.74426 20.91443)
Starbucks,POINT (-103.45739 20.56903)
Starbucks,POINT (-73.9818 40.7619)
Starbucks,POINT (-96.77061 32.81318)
Starbucks,POINT (-76.99657 41.24124)
Starbucks,POINT (-84.45792 34.23746)
Starbucks,POINT (-117.3304 33.88768)
Starbucks,POINT (-83.33424 42.3667)
Starbucks,POINT (-81.38985 40.83654)
Starbucks,POINT (-94.74136 38.97221)
Starbucks,POINT (-121.6361 39.12698)
Starbucks,POINT (-78.97503 35.05052)
Starbucks,POINT (-122.26634 47.8326)
Starbucks,POINT (-119.33125 36.22539)
Starbucks,POINT (-117.10245 33.51355)
Starbucks,POINT (-70.74897 42.10671)
Starbucks,POINT (-73.70396 40.70813)
Starbucks,POINT (-82.97898 40.13828)
Starbucks,POINT (-72.9332 45.36503)
Starbucks,POINT (-81.97301 28.09556)
Starbucks,POINT (-117.00902 33.746)
Starbucks,POINT (-111.5623 33.2496)
Starbucks,POINT (-122.22885 47.4008)
Starbucks,POINT (-73.24279 42.30125)
Starbucks,POINT (-105.05552 39.91685)
Starbucks,POINT (-121.38664 38.5943)
Starbucks,POINT (-115.04222 36.06713)
Starbucks,POINT (-96.97478 32.79989)
Starbucks,POINT (-87.64054 41.88206)
Starbucks,POINT (-87.8399 42.2517)
Starbucks,POINT (-95.74116 29.70215)
Starbucks,POINT (-80.33731 25.6851)
Starbucks,POINT (-100.09821 20.4623)
Starbucks,POINT (-73.05281 40.86587)
Starbucks,POINT (-122.45638 37.76417)
Starbucks,POINT (-92.82822 45.03545)
Starbucks,POINT (-83.99404 35.74099)
Starbucks,POINT (-122.68579 45.47138)
Starbucks,POINT (-81.07464 35.11594)
Starbucks,POINT (-90.14193 32.39993)
Starbucks,POINT (-83.04615 39.9727)
Starbucks,POINT (-88.11448 43.22147)
Starbucks,POINT (-111.71852 33.43643)
Starbucks,POINT (-84.55176 33.95259)
Starbucks,POINT (-83.04054 42.32914)
Starbucks,POINT (-118.48996 34.02662)
Starbucks,POINT (-121.07391 38.90414)
